itens.id,itens.codigoVenda,itens.codigoIten,itens.quantidade,itens.produto,itens.valorUnidade,itens.valorTotal,itens.dataRegistro,itens.status,itens.data_check_iten,itens.obs
398,160402580510,90,10,Sapato c/ luva,8.9,89.0,2016-04-02 10:06:12,False,<NULL>, 
399,160402462710,840,2,Manta bordada - simples,44.9,89.8,2016-04-02 11:29:38,True,2016-04-02 12:11:05.363000, 
400,160402462710,120,2,"Kit Fralda, camiseta e cheirinho ",25.0,50.0,2016-04-02 11:29:46,True,2016-04-02 12:11:06.174000, 
401,160402462710,400,14,Kit camiseta 3 peças,23.0,322.0,2016-04-02 11:29:51,True,2016-04-02 12:11:08.099000, 
402,160402462710,310,4,Roupão de felpa ,32.5,130.0,2016-04-02 11:29:55,True,2016-04-02 12:11:30.240000,
403,160402462710,3006,5,Roupão Felpuce ,35.0,175.0,2016-04-02 11:30:13,True,2016-04-02 12:11:30.861000, 
404,160402462710,160,7,Toalha fralda c/ bico ,13.5,94.5,2016-04-02 11:30:23,True,2016-04-02 12:11:32.437000, 
405,160402462710,1110,5,Lençol de elástico c/ barra e fronha,40.0,200.0,2016-04-02 11:30:52,True,2016-04-02 12:11:32.685000, 
407,160402462710,1100,8,"Kit Vestido, Calcinha e Tiara ",30.0,240.0,2016-04-02 11:32:04,True,2016-04-02 12:11:34.457000, 
408,160402462710,270,15,Toalha fralda capuz,15.5,232.5,2016-04-02 11:32:56,True,2016-04-02 12:11:34.919000, 
409,160402462710,1120,12,Kit Body Mijao Sapato com luva,25.0,300.0,2016-04-02 11:33:24,True,2016-04-02 12:11:36.496000, 
410,160402462710,3007,12,"Kit Cueca, Camiseta, sapato tecido ",26.5,318.0,2016-04-02 11:34:18,True,2016-04-02 12:11:37.076000, 
411,160402462710,500,12,Kit Cheirinho c/ 04 peças,19.5,234.0,2016-04-02 11:34:46,True,2016-04-02 12:11:37.854000, 
412,160402462710,350,8,Kit Cheirinho de malha c/ 03 peças,15.6,124.8,2016-04-02 11:35:06,True,2016-04-02 12:11:38.334000, 
414,160402462710,630,15,Kit Pagão 03 peças ,20.0,300.0,2016-04-02 11:35:54,True,2016-04-02 12:11:39.014000, 
415,160402462710,330,6,Pano de prato 03 peças ,13.0,78.0,2016-04-02 11:37:08,True,2016-04-02 12:11:39.888000, 
416,160402462710,740,3,"Kit short, camiseta e Tiara ",22.5,67.5,2016-04-02 11:38:07,True,2016-04-02 12:11:40.622000, 
417,160402462710,1140,3,Blusa s/manga c/short,17.5,52.5,2016-04-02 11:38:17,True,2016-04-02 12:11:41.120000, 
418,160402462710,299,13,Kit Body c/colete e mijão ,25.0,325.0,2016-04-02 11:38:39,True,2016-04-02 12:11:42.021000, 
419,160402462710,1180,5,Camisa Masc. Short tecido,26.25,131.25,2016-04-02 11:39:04,True,2016-04-02 12:11:42.975000, 
420,160402462710,5063,13,Toalha capuz de Felpa ,20.0,260.0,2016-04-02 11:40:01,True,2016-04-02 12:11:44.910000, 
421,160402462710,1000,3,Cobertor Flanela,15.0,45.0,2016-04-02 11:40:36,True,2016-04-02 12:11:45.557000, 
422,160402462710,2236,10,Bory Ind. c/Barra de Tecido,16.5,165.0,2016-04-02 11:41:15,True,2016-04-02 12:11:46.208000, 
423,160402462710,240,9,Kit Pano de xixi 02 peças (malha),26.0,234.0,2016-04-02 11:42:00,True,2016-04-02 12:11:46.887000, 
424,160402462710,170,6,Kit Pano de xixi 03 peças,42.0,252.0,2016-04-02 11:42:37,True,2016-04-02 12:11:47.576000, 
425,160402462710,640,9,Kit Berço c/ fronha (malha),31.5,283.5,2016-04-02 11:43:12,True,2016-04-02 12:11:48.073000, 
426,160402462710,1200,13,Kit Calcinha de Malha 3 peças,18.9,245.7,2016-04-02 11:43:57,True,2016-04-02 12:11:48.743000, 
427,160402462710,300,8,Kit Fralda c/ 03 peças,21.0,168.0,2016-04-02 11:45:03,True,2016-04-02 12:11:49.355000, 
428,160402462710,3008,12,Kit Calcinha Camiseta e Sapatilha,27.9,334.8,2016-04-02 11:45:50,True,2016-04-02 12:11:49.951000, 
429,160402462710,2302,5,Short tecido c/ blusa de viés ,25.0,125.0,2016-04-02 11:46:37,True,2016-04-02 12:11:50.484000, 
430,160402462710,90,22,Sapato c/ luva,8.9,195.8,2016-04-02 11:47:07,True,2016-04-02 12:11:51.090000, 
431,160402462710,5122,10,Pijamas estampados,19.0,190.0,2016-04-02 11:48:09,True,2016-04-02 12:11:52.915000, 
432,160402462710,5117,10,Camiseta machão c/ short tec,23.0,230.0,2016-04-02 11:49:41,True,2016-04-02 12:11:53.419000, 
433,160402462710,5116,5,Sapatilha c/ Tiara,15.0,75.0,2016-04-02 11:50:13,True,2016-04-02 12:11:55.254000, 
434,160402462710,210,1,Kit Berço c/ vira e fronha c/ bico,40.0,40.0,2016-04-02 11:50:39,True,2016-04-02 12:11:55.902000, 
